longitude,latitude
-74.5505796,-0.4122897
-74.5439068,-0.4191735
-74.5428426,-0.430494
-74.5371434,-0.4586029
-74.5210156,-0.4702238
-74.5037548,-0.4615377
-74.4978673,-0.4619071
-74.4951207,-0.4713482
-74.4978673,-0.4761545
-74.5011289,-0.4823341
-74.5011166,-0.4851699
-74.497009,-0.4876554
-74.4872243,-0.4885137
-74.4834362,-0.4773734
-74.4736727,-0.4726733
-74.4695432,-0.4780427
-74.4658339,-0.4866879
-74.4514455,-0.4903424
-74.4383008,-0.4972681
-74.4223566,-0.4993349
-74.4195223,-0.5042471
-74.4219903,-0.5105721
-74.4239775,-0.5210046
-74.4239102,-0.5311444
-74.4243962,-0.5382935
-74.4243962,-0.5499659
-74.420448,-0.5599218
-74.4115724,-0.5592352
-74.4084648,-0.5565866
-74.397816,-0.5399919
-74.3923009,-0.5419052
-74.3883473,-0.5499659
-74.3867473,-0.5549064
-74.3875945,-0.5593278
-74.3901656,-0.5722633
-74.3898923,-0.5757139
-74.3835408,-0.5858414
-74.3814809,-0.5995736
-74.3747861,-0.6091861
-74.3634564,-0.6151939
-74.3595082,-0.6301276
-74.3643147,-0.6405983
-74.3718465,-0.6460053
-74.3739065,-0.6537295
-74.3684133,-0.662312
-74.351719,-0.6700578
-74.3378789,-0.677503
-74.3377072,-0.6855705
-74.3397672,-0.6946679
-74.3430287,-0.7008473
-74.353661,-0.711114
-74.3644756,-0.7128305
-74.3716854,-0.7135171
-74.3766744,-0.719042
-74.3751294,-0.7279677
-74.3701512,-0.7372366
-74.3524483,-0.7539297
-74.3443697,-0.7583492
-74.3363339,-0.7590357
-74.3227727,-0.754058
-74.3157346,-0.7542296
-74.3128163,-0.7592074
-74.3092435,-0.7620074
-74.3087286,-0.7675001
-74.3124515,-0.7730786
-74.3177945,-0.7780884
-74.3189961,-0.7852976
-74.3164212,-0.7911335
-74.3125051,-0.7933543
-74.3049737,-0.793644
-74.2947595,-0.7777233
-74.2875177,-0.7741299
-74.279074,-0.779011
-74.2786342,-0.7871642
-74.2856941,-0.7937941
-74.2883868,-0.8022263
-74.2903287,-0.8082552
-74.292217,-0.8156787
-74.2886121,-0.8215145
-74.2794711,-0.8281872
-74.267798,-0.8249905
-74.2594189,-0.8191221
-74.2506749,-0.8149921
-74.2458684,-0.8156787
-74.24339,-0.8207637
-74.2474992,-0.8301291
-74.2572842,-0.8337765
-74.2614896,-0.8373057
-74.2656095,-0.8412535
-74.270416,-0.8541267
-74.2692143,-0.8630521
-74.267148,-0.8691733
-74.2666952,-0.8742903
-74.2679505,-0.8778068
-74.2702551,-0.8806325
-74.2732205,-0.8820936
-74.2764778,-0.8821772
-74.2787673,-0.8808556
-74.2804174,-0.878916
-74.2818057,-0.8757557
-74.2836017,-0.8732583
-74.2855394,-0.8716706
-74.2881572,-0.870201
-74.2928006,-0.8677594
-74.2981114,-0.8658734
-74.3015403,-0.865144
-74.3057546,-0.8652341
-74.3090441,-0.8667316
-74.3134064,-0.8696538
-74.3159363,-0.8722735
-74.3182366,-0.8751464
-74.3192622,-0.8777618
-74.3204585,-0.8807329
-74.3196549,-0.8850973
-74.318552,-0.8886588
-74.317728,-0.8908215
-74.3145373,-0.8942371
-74.3119237,-0.8960415
-74.3100118,-0.8964256
-74.3077695,-0.895666
